Category;Order Date;Segment;Sales Target
Office Supplies;2017-03-14;Consumer;217 
Office Supplies;2017-03-14;Home Office;99 
Technology;2017-03-14;Consumer;77 
Office Supplies;2017-03-14;Corporate;12 
Office Supplies;2017-03-15;Consumer;302 
Furniture;2017-03-15;Consumer;43 
Technology;2017-03-16;Home Office;514 
Furniture;2017-03-17;Corporate;3396 
Office Supplies;2017-03-17;Corporate;361 
Office Supplies;2017-03-17;Consumer;250 
Technology;2017-03-18;Home Office;25729 
Office Supplies;2017-03-18;Home Office;1771 
Furniture;2017-03-18;Home Office;1536 
Technology;2017-03-19;Corporate;445 
Office Supplies;2017-03-19;Corporate;66 
Furniture;2017-03-19;Corporate;22 
Technology;2017-03-21;Corporate;3080 
Office Supplies;2017-03-21;Corporate;312 
Furniture;2017-03-21;Consumer;216 
Office Supplies;2017-03-21;Consumer;79 
Furniture;2017-03-22;Corporate;314 
Office Supplies;2017-03-22;Consumer;79 
Office Supplies;2017-03-22;Corporate;77 
Technology;2017-03-23;Consumer;623 
Office Supplies;2017-03-23;Consumer;330 
Furniture;2017-03-24;Consumer;37 
Office Supplies;2017-03-24;Consumer;23 
Furniture;2017-03-25;Consumer;341 
Technology;2017-03-25;Consumer;46 
Office Supplies;2017-03-25;Consumer;42 
Technology;2017-03-26;Corporate;84 
Office Supplies;2017-03-26;Corporate;33 
Office Supplies;2017-03-26;Consumer;16 
Furniture;2017-03-28;Consumer;1102 
Furniture;2017-03-28;Home Office;327 
Technology;2017-03-28;Home Office;314 
Office Supplies;2017-03-28;Consumer;7 
Furniture;2017-03-29;Consumer;918 
Office Supplies;2017-03-30;Home Office;342 
Technology;2017-03-30;Home Office;219 
Furniture;2017-03-30;Consumer;212 
Office Supplies;2017-03-30;Consumer;184 
Furniture;2017-03-30;Home Office;113 
Office Supplies;2017-03-30;Corporate;65 
Furniture;2017-03-31;Consumer;1193 
Office Supplies;2017-03-31;Consumer;827 
Technology;2017-03-31;Consumer;78 
Office Supplies;2017-03-31;Corporate;2 
Office Supplies;2017-04-01;Corporate;63 
Office Supplies;2017-04-01;Consumer;46 
Technology;2017-04-02;Consumer;892 
Office Supplies;2017-04-02;Consumer;242 
Furniture;2017-04-02;Corporate;181 
Technology;2017-04-03;Corporate;238 
Office Supplies;2017-04-03;Corporate;12 
Office Supplies;2017-04-04;Corporate;278 
Technology;2017-04-04;Corporate;96 
Office Supplies;2017-04-04;Consumer;87 
Office Supplies;2017-04-04;Home Office;17 
Furniture;2017-04-04;Consumer;5 
Office Supplies;2017-04-05;Corporate;4795 
Office Supplies;2017-04-05;Consumer;832 
Office Supplies;2017-04-05;Home Office;54 
Technology;2017-04-05;Corporate;32 
Furniture;2017-04-06;Corporate;763 
Technology;2017-04-06;Corporate;307 
Office Supplies;2017-04-06;Corporate;241 
Furniture;2017-04-06;Home Office;158 
Technology;2017-04-06;Home Office;109 
Office Supplies;2017-04-06;Home Office;10 
Technology;2017-04-07;Corporate;535 
Technology;2017-04-07;Home Office;199 
Office Supplies;2017-04-07;Corporate;119 
Office Supplies;2017-04-07;Home Office;52 
Furniture;2017-04-07;Consumer;9 
Furniture;2017-04-08;Corporate;1167 
Technology;2017-04-08;Home Office;340 
Furniture;2017-04-08;Consumer;162 
Furniture;2017-04-08;Home Office;109 
Office Supplies;2017-04-08;Home Office;44 
Office Supplies;2017-04-08;Corporate;19 
Technology;2017-04-11;Consumer;928 
Technology;2017-04-11;Home Office;720 
Office Supplies;2017-04-11;Consumer;109 
Technology;2017-04-12;Corporate;1438 
Furniture;2017-04-12;Corporate;312 
Office Supplies;2017-04-12;Corporate;58 
Office Supplies;2017-04-12;Consumer;34 
Office Supplies;2017-04-13;Corporate;548 
Technology;2017-04-13;Corporate;76 
Office Supplies;2017-04-13;Home Office;8 
Furniture;2017-04-15;Home Office;163 
Office Supplies;2017-04-15;Home Office;92 
Office Supplies;2017-04-16;Corporate;39 
Technology;2017-04-18;Consumer;444 
Furniture;2017-04-18;Consumer;304 
Office Supplies;2017-04-18;Consumer;167 
Office Supplies;2017-04-19;Consumer;141 
Furniture;2017-04-19;Home Office;76 
Furniture;2017-04-20;Consumer;1326 
Office Supplies;2017-04-20;Consumer;38 
Office Supplies;2017-04-21;Corporate;829 
Office Supplies;2017-04-21;Consumer;16 
Office Supplies;2017-04-22;Corporate;258 
Furniture;2017-04-23;Home Office;614 
Office Supplies;2017-04-23;Home Office;51 
Office Supplies;2017-04-23;Corporate;2 
Furniture;2017-04-25;Home Office;1772 
Office Supplies;2017-04-25;Home Office;313 
Technology;2017-04-25;Consumer;287 
Furniture;2017-04-26;Corporate;216 
Office Supplies;2017-04-26;Home Office;35 
Office Supplies;2017-04-26;Corporate;17 
Technology;2017-04-28;Consumer;1630 
Office Supplies;2017-04-28;Corporate;731 
Technology;2017-04-28;Corporate;160 
Furniture;2017-04-29;Corporate;578 
Office Supplies;2017-04-29;Corporate;105 
Furniture;2017-04-29;Consumer;63 
Technology;2017-04-29;Consumer;20 
Office Supplies;2017-04-29;Consumer;16 
Office Supplies;2017-04-30;Consumer;1031 
Technology;2017-04-30;Consumer;51 
Technology;2017-05-02;Consumer;422 
Office Supplies;2017-05-02;Consumer;25 
Office Supplies;2017-05-03;Consumer;47 
Office Supplies;2017-05-03;Home Office;24 
Office Supplies;2017-05-04;Consumer;90 
Office Supplies;2017-05-04;Corporate;62 
Furniture;2017-05-04;Consumer;25 
Furniture;2017-05-04;Corporate;10 
Furniture;2017-05-05;Consumer;124 
Office Supplies;2017-05-05;Corporate;81 
Office Supplies;2017-05-05;Consumer;38 
Office Supplies;2017-05-06;Home Office;267 
Furniture;2017-05-07;Consumer;960 
Office Supplies;2017-05-07;Consumer;23 
Technology;2017-05-08;Consumer;1620 
Technology;2017-05-09;Consumer;229 
Office Supplies;2017-05-09;Corporate;148 
Technology;2017-05-10;Consumer;1417 
Furniture;2017-05-10;Consumer;522 
Office Supplies;2017-05-10;Consumer;222 
Furniture;2017-05-11;Corporate;1031 
Technology;2017-05-11;Consumer;195 
Office Supplies;2017-05-11;Home Office;124 
Furniture;2017-05-11;Consumer;61 
Office Supplies;2017-05-11;Corporate;33 
Furniture;2017-05-12;Consumer;639 
Office Supplies;2017-05-13;Home Office;418 
Furniture;2017-05-13;Corporate;296 
Technology;2017-05-13;Consumer;151 
Office Supplies;2017-05-13;Consumer;60 
Office Supplies;2017-05-13;Corporate;8 
Furniture;2017-05-14;Corporate;342 
Furniture;2017-05-16;Corporate;205 
Technology;2017-05-16;Consumer;50 
Office Supplies;2017-05-17;Home Office;85 
Technology;2017-05-18;Consumer;725 
Furniture;2017-05-18;Consumer;127 
Office Supplies;2017-05-18;Consumer;17 
Office Supplies;2017-05-19;Consumer;82 
Furniture;2017-05-20;Corporate;131 
Office Supplies;2017-05-20;Corporate;128 
Technology;2017-05-20;Corporate;21 
Office Supplies;2017-05-21;Corporate;2634 
Office Supplies;2017-05-21;Home Office;788 
Technology;2017-05-21;Corporate;624 
Furniture;2017-05-21;Consumer;94 
Office Supplies;2017-05-21;Consumer;78 
Technology;2017-05-22;Consumer;168 
Office Supplies;2017-05-23;Consumer;295 
Technology;2017-05-23;Consumer;50 
Office Supplies;2017-05-24;Consumer;108 
Office Supplies;2017-05-25;Consumer;88 
Furniture;2017-05-25;Consumer;28 
Furniture;2017-05-26;Consumer;562 
Furniture;2017-05-26;Corporate;317 
Technology;2017-05-26;Corporate;303 
Office Supplies;2017-05-26;Consumer;116 
Office Supplies;2017-05-26;Home Office;44 
Technology;2017-05-27;Consumer;1298 
Furniture;2017-05-27;Corporate;510 
Office Supplies;2017-05-27;Corporate;356 
Office Supplies;2017-05-27;Consumer;15 
Office Supplies;2017-05-28;Consumer;138 
Technology;2017-05-28;Corporate;88 
Technology;2017-05-30;Corporate;1160 
Furniture;2017-05-30;Consumer;313 
Office Supplies;2017-05-30;Corporate;309 
Office Supplies;2017-05-30;Consumer;77 
Technology;2017-05-31;Consumer;781 
Furniture;2017-06-01;Home Office;2142 
Office Supplies;2017-06-01;Home Office;1808 
Technology;2017-06-01;Consumer;891 
Office Supplies;2017-06-01;Corporate;194 
Furniture;2017-06-01;Consumer;20 
Office Supplies;2017-06-02;Consumer;347 
Technology;2017-06-02;Consumer;218 
Furniture;2017-06-02;Home Office;62 
Office Supplies;2017-06-02;Home Office;62 
Furniture;2017-06-03;Consumer;497 
Office Supplies;2017-06-03;Consumer;156 
Office Supplies;2017-06-03;Home Office;15 
Furniture;2017-06-04;Consumer;458 
Office Supplies;2017-06-04;Home Office;17 
Office Supplies;2017-06-04;Consumer;17 
Furniture;2017-06-06;Corporate;1091 
Office Supplies;2017-06-06;Corporate;162 
Office Supplies;2017-06-06;Consumer;127 
Office Supplies;2017-06-06;Home Office;99 
Furniture;2017-06-07;Consumer;237 
Office Supplies;2017-06-07;Corporate;13 
Office Supplies;2017-06-08;Consumer;1745 
Furniture;2017-06-08;Consumer;615 
Furniture;2017-06-08;Corporate;158 
Furniture;2017-06-09;Consumer;2909 
Technology;2017-06-09;Consumer;1891 
Office Supplies;2017-06-09;Consumer;168 
Office Supplies;2017-06-09;Corporate;91 
Office Supplies;2017-06-09;Home Office;76 
Technology;2017-06-09;Home Office;71 
Furniture;2017-06-09;Corporate;38 
Office Supplies;2017-06-10;Corporate;482 
Office Supplies;2017-06-13;Corporate;14 
Furniture;2017-06-14;Home Office;209 
Furniture;2017-06-15;Corporate;961 
Office Supplies;2017-06-15;Consumer;39 
Office Supplies;2017-06-15;Corporate;8 
Furniture;2017-06-16;Consumer;693 
Office Supplies;2017-06-16;Consumer;102 
Office Supplies;2017-06-17;Consumer;3313 
Technology;2017-06-17;Consumer;63 
Furniture;2017-06-17;Consumer;7 
Technology;2017-06-18;Consumer;133 
Office Supplies;2017-06-20;Consumer;1005 
Technology;2017-06-20;Consumer;565 
Furniture;2017-06-20;Consumer;183 
Technology;2017-06-21;Consumer;4043 
Office Supplies;2017-06-21;Consumer;271 
Furniture;2017-06-21;Consumer;117 
Furniture;2017-06-22;Consumer;1004 
Office Supplies;2017-06-22;Consumer;699 
Technology;2017-06-22;Consumer;294 
Technology;2017-06-23;Consumer;75 
Office Supplies;2017-06-23;Consumer;22 
Furniture;2017-06-24;Consumer;4 
Furniture;2017-06-25;Corporate;470 
Technology;2017-06-25;Corporate;248 
Office Supplies;2017-06-25;Corporate;74 
Office Supplies;2017-06-27;Consumer;318 
Technology;2017-06-27;Consumer;224 
Furniture;2017-06-27;Consumer;86 
Furniture;2017-06-28;Consumer;1081 
Office Supplies;2017-06-28;Consumer;395 
Office Supplies;2017-06-28;Corporate;6 
Office Supplies;2017-06-29;Consumer;41 
Office Supplies;2017-06-30;Consumer;713 
Office Supplies;2017-06-30;Corporate;80 
Technology;2017-07-01;Corporate;593 
Office Supplies;2017-07-01;Corporate;23 
Technology;2017-07-02;Consumer;78 
Office Supplies;2017-07-02;Consumer;5 
Office Supplies;2017-07-04;Corporate;178 
Office Supplies;2017-07-04;Consumer;34 
Office Supplies;2017-07-05;Consumer;579 
Technology;2017-07-05;Consumer;475 
Furniture;2017-07-05;Corporate;254 
Office Supplies;2017-07-05;Home Office;192 
Office Supplies;2017-07-05;Corporate;15 
Technology;2017-07-06;Consumer;498 
Furniture;2017-07-06;Home Office;464 
Furniture;2017-07-07;Consumer;205 
Furniture;2017-07-08;Corporate;523 
Office Supplies;2017-07-08;Corporate;181 
Furniture;2017-07-08;Consumer;56 
Furniture;2017-07-09;Home Office;127 
Office Supplies;2017-07-09;Home Office;103 
Office Supplies;2017-07-09;Corporate;23 
Furniture;2017-07-11;Corporate;901 
Technology;2017-07-11;Consumer;652 
Technology;2017-07-11;Corporate;184 
Office Supplies;2017-07-11;Corporate;182 
Office Supplies;2017-07-11;Consumer;82 
Furniture;2017-07-12;Corporate;768 
Furniture;2017-07-12;Home Office;543 
Office Supplies;2017-07-12;Home Office;321 
Technology;2017-07-12;Home Office;258 
Furniture;2017-07-12;Consumer;121 
Office Supplies;2017-07-12;Consumer;48 
Technology;2017-07-12;Consumer;21 
Office Supplies;2017-07-12;Corporate;7 
Furniture;2017-07-13;Corporate;309 
Office Supplies;2017-07-14;Consumer;90 
Office Supplies;2017-07-14;Home Office;65 
Technology;2017-07-14;Home Office;41 
Technology;2017-07-14;Consumer;37 
Furniture;2017-07-14;Consumer;30 
Office Supplies;2017-07-14;Corporate;17 
Office Supplies;2017-07-15;Corporate;6 
Technology;2017-07-15;Corporate;3 
Furniture;2017-07-18;Home Office;280 
Office Supplies;2017-07-18;Consumer;15 
Technology;2017-07-19;Corporate;335 
Furniture;2017-07-19;Corporate;77 
Office Supplies;2017-07-19;Corporate;26 
Office Supplies;2017-07-19;Home Office;7 
Furniture;2017-07-20;Home Office;858 
Office Supplies;2017-07-20;Corporate;482 
Office Supplies;2017-07-20;Home Office;298 
Office Supplies;2017-07-20;Consumer;260 
Furniture;2017-07-20;Consumer;43 
Technology;2017-07-20;Corporate;41 
Furniture;2017-07-21;Corporate;1819 
Office Supplies;2017-07-21;Corporate;164 
Technology;2017-07-21;Consumer;37 
Furniture;2017-07-22;Consumer;773 
Office Supplies;2017-07-22;Consumer;306 
Technology;2017-07-22;Consumer;171 
Office Supplies;2017-07-22;Home Office;20 
Technology;2017-07-23;Consumer;1507 
Technology;2017-07-23;Corporate;914 
Office Supplies;2017-07-23;Corporate;45 
Office Supplies;2017-07-23;Consumer;18 
Office Supplies;2017-07-25;Consumer;8736 
Furniture;2017-07-25;Consumer;69 
Office Supplies;2017-07-25;Home Office;22 
Office Supplies;2017-07-26;Consumer;2145 
Technology;2017-07-26;Consumer;1454 
Furniture;2017-07-26;Consumer;800 
Technology;2017-07-26;Corporate;109 
Office Supplies;2017-07-27;Corporate;315 
Technology;2017-07-27;Consumer;205 
Furniture;2017-07-28;Consumer;129 
Office Supplies;2017-07-28;Consumer;69 
Furniture;2017-07-30;Corporate;1190 
Office Supplies;2017-08-01;Corporate;152 
Furniture;2017-08-01;Corporate;48 
Office Supplies;2017-08-01;Consumer;20 
Office Supplies;2017-08-01;Home Office;5 
Office Supplies;2017-08-02;Home Office;779 
Technology;2017-08-02;Home Office;18 
Furniture;2017-08-03;Consumer;203 
Office Supplies;2017-08-03;Consumer;181 
Office Supplies;2017-08-03;Home Office;84 
Office Supplies;2017-08-04;Consumer;1553 
Technology;2017-08-04;Consumer;404 
Office Supplies;2017-08-04;Corporate;376 
Technology;2017-08-04;Corporate;263 
Furniture;2017-08-05;Corporate;1179 
Furniture;2017-08-05;Consumer;705 
Office Supplies;2017-08-05;Consumer;178 
Technology;2017-08-05;Corporate;143 
Office Supplies;2017-08-05;Corporate;101 
Technology;2017-08-05;Consumer;14 
Technology;2017-08-06;Consumer;273 
Technology;2017-08-08;Consumer;1637 
Technology;2017-08-08;Home Office;909 
Furniture;2017-08-08;Consumer;520 
Office Supplies;2017-08-08;Consumer;454 
Office Supplies;2017-08-08;Home Office;208 
Furniture;2017-08-08;Home Office;48 
Office Supplies;2017-08-09;Consumer;2018 
Technology;2017-08-09;Home Office;1376 
Technology;2017-08-09;Corporate;164 
Office Supplies;2017-08-09;Home Office;22 
Office Supplies;2017-08-09;Corporate;17 
Office Supplies;2017-08-11;Consumer;461 
Furniture;2017-08-11;Consumer;12 
Technology;2017-08-12;Consumer;1154 
Office Supplies;2017-08-12;Home Office;269 
Office Supplies;2017-08-12;Corporate;198 
Technology;2017-08-12;Home Office;173 
Furniture;2017-08-12;Consumer;80 
Office Supplies;2017-08-12;Consumer;13 
Office Supplies;2017-08-15;Consumer;661 
Furniture;2017-08-15;Consumer;193 
Furniture;2017-08-16;Consumer;725 
Technology;2017-08-17;Corporate;340 
Office Supplies;2017-08-17;Corporate;167 
Furniture;2017-08-19;Consumer;600 
Office Supplies;2017-08-19;Corporate;410 
Furniture;2017-08-19;Corporate;318 
Office Supplies;2017-08-19;Consumer;103 
Office Supplies;2017-08-20;Corporate;835 
Furniture;2017-08-20;Corporate;440 
Furniture;2017-08-20;Consumer;379 
Office Supplies;2017-08-22;Consumer;20 
Office Supplies;2017-08-22;Home Office;4 
Office Supplies;2017-08-23;Consumer;352 
Technology;2017-08-23;Consumer;141 
Office Supplies;2017-08-23;Corporate;52 
Office Supplies;2017-08-23;Home Office;18 
Furniture;2017-08-23;Consumer;4 
Office Supplies;2017-08-24;Corporate;40 
Furniture;2017-08-24;Corporate;12 
Technology;2017-08-25;Consumer;998 
Office Supplies;2017-08-25;Consumer;216 
Office Supplies;2017-08-25;Corporate;101 
Technology;2017-08-25;Corporate;88 
Furniture;2017-08-25;Corporate;6 
Technology;2017-08-26;Home Office;317 
Office Supplies;2017-08-26;Consumer;18 
Furniture;2017-08-26;Consumer;9 
Office Supplies;2017-08-26;Home Office;8 
Furniture;2017-08-27;Corporate;1207 
Technology;2017-08-27;Corporate;563 
Technology;2017-08-27;Consumer;184 
Office Supplies;2017-08-27;Consumer;43 
Office Supplies;2017-08-29;Consumer;583 
Furniture;2017-08-29;Consumer;178 
Office Supplies;2017-08-29;Corporate;113 
Office Supplies;2017-08-30;Consumer;118 
Technology;2017-08-31;Consumer;102 
Technology;2017-09-01;Consumer;303 
Office Supplies;2017-09-01;Consumer;101 
Office Supplies;2017-09-02;Consumer;1908 
Technology;2017-09-02;Consumer;709 
Technology;2017-09-02;Corporate;588 
Furniture;2017-09-02;Consumer;60 
Office Supplies;2017-09-03;Consumer;16 
Office Supplies;2017-09-03;Home Office;8 
Office Supplies;2017-09-05;Consumer;256 
Furniture;2017-09-05;Consumer;31 
Office Supplies;2017-09-06;Corporate;58 
Furniture;2017-09-06;Corporate;42 
Furniture;2017-09-07;Consumer;932 
Furniture;2017-09-07;Home Office;793 
Technology;2017-09-07;Consumer;512 
Technology;2017-09-07;Corporate;458 
Office Supplies;2017-09-07;Consumer;378 
Technology;2017-09-07;Home Office;265 
Office Supplies;2017-09-07;Corporate;191 
Office Supplies;2017-09-07;Home Office;74 
Furniture;2017-09-07;Corporate;46 
Technology;2017-09-08;Consumer;7365 
Furniture;2017-09-08;Consumer;3720 
Office Supplies;2017-09-08;Consumer;1501 
Furniture;2017-09-08;Home Office;169 
Technology;2017-09-08;Corporate;113 
Office Supplies;2017-09-08;Home Office;78 
Office Supplies;2017-09-08;Corporate;17 
Office Supplies;2017-09-09;Corporate;1610 
Technology;2017-09-09;Consumer;1485 
Furniture;2017-09-09;Corporate;684 
Office Supplies;2017-09-09;Consumer;124 
Furniture;2017-09-09;Home Office;66 
Office Supplies;2017-09-09;Home Office;30 
Furniture;2017-09-09;Consumer;17 
Furniture;2017-09-10;Consumer;1742 
Office Supplies;2017-09-10;Consumer;105 
Office Supplies;2017-09-10;Home Office;8 
Furniture;2017-09-11;Consumer;118 
Furniture;2017-09-12;Consumer;3899 
Office Supplies;2017-09-12;Home Office;600 
Office Supplies;2017-09-12;Corporate;156 
Technology;2017-09-12;Home Office;111 
Office Supplies;2017-09-12;Consumer;59 
Furniture;2017-09-12;Home Office;35 
Technology;2017-09-12;Corporate;14 
Technology;2017-09-13;Consumer;751 
Furniture;2017-09-13;Home Office;330 
Office Supplies;2017-09-13;Consumer;114 
Office Supplies;2017-09-13;Corporate;104 
Furniture;2017-09-13;Consumer;16 
Technology;2017-09-14;Consumer;3167 
Office Supplies;2017-09-14;Consumer;1147 
Furniture;2017-09-14;Consumer;552 
Office Supplies;2017-09-14;Corporate;100 
Furniture;2017-09-14;Corporate;10 
Furniture;2017-09-15;Corporate;106 
Office Supplies;2017-09-15;Consumer;16 
Furniture;2017-09-15;Consumer;15 
Office Supplies;2017-09-16;Corporate;29 
Office Supplies;2017-09-17;Consumer;562 
Technology;2017-09-17;Consumer;116 
Furniture;2017-09-17;Consumer;35 
Office Supplies;2017-09-17;Home Office;6 
Technology;2017-09-19;Corporate;5915 
Technology;2017-09-19;Consumer;2599 
Furniture;2017-09-19;Corporate;836 
Office Supplies;2017-09-19;Corporate;98 
Office Supplies;2017-09-19;Consumer;73 
Office Supplies;2017-09-19;Home Office;5 
Furniture;2017-09-20;Consumer;2672 
Technology;2017-09-20;Consumer;1989 
Office Supplies;2017-09-20;Consumer;138 
Office Supplies;2017-09-20;Home Office;65 
Office Supplies;2017-09-20;Corporate;12 
Technology;2017-09-21;Consumer;1943 
Office Supplies;2017-09-21;Consumer;233 
Office Supplies;2017-09-21;Home Office;101 
Office Supplies;2017-09-21;Corporate;68 
Furniture;2017-09-21;Home Office;7 
Furniture;2017-09-22;Consumer;670 
Office Supplies;2017-09-22;Corporate;338 
Office Supplies;2017-09-22;Consumer;239 
Office Supplies;2017-09-23;Consumer;10084 
Furniture;2017-09-23;Corporate;427 
Technology;2017-09-23;Corporate;91 
Office Supplies;2017-09-23;Home Office;51 
Office Supplies;2017-09-23;Corporate;11 
Office Supplies;2017-09-24;Consumer;212 
Furniture;2017-09-25;Home Office;325 
Office Supplies;2017-09-25;Home Office;59 
Furniture;2017-09-26;Home Office;521 
Office Supplies;2017-09-26;Home Office;375 
Office Supplies;2017-09-26;Corporate;165 
Furniture;2017-09-26;Consumer;156 
Technology;2017-09-26;Consumer;148 
Furniture;2017-09-26;Corporate;20 
Technology;2017-09-26;Home Office;3 
Furniture;2017-09-27;Consumer;592 
Furniture;2017-09-27;Corporate;84 
Office Supplies;2017-09-27;Consumer;82 
Furniture;2017-09-28;Consumer;364 
Office Supplies;2017-09-28;Corporate;158 
Office Supplies;2017-09-29;Consumer;2626 
Furniture;2017-09-29;Home Office;2331 
Office Supplies;2017-09-29;Corporate;1713 
Technology;2017-09-29;Consumer;604 
Furniture;2017-09-29;Corporate;443 
Furniture;2017-09-29;Consumer;316 
Office Supplies;2017-09-30;Corporate;756 
Office Supplies;2017-09-30;Consumer;189 
Furniture;2017-09-30;Corporate;14 
Office Supplies;2017-10-01;Home Office;5 
Technology;2017-10-02;Corporate;567 
Office Supplies;2017-10-02;Corporate;43 
Furniture;2017-10-03;Consumer;293 
Furniture;2017-10-03;Corporate;242 
Technology;2017-10-03;Consumer;147 
Office Supplies;2017-10-03;Consumer;98 
Office Supplies;2017-10-03;Home Office;70 
Furniture;2017-10-04;Consumer;637 
Office Supplies;2017-10-04;Consumer;131 
Technology;2017-10-05;Consumer;100 
Office Supplies;2017-10-05;Consumer;96 
Office Supplies;2017-10-06;Corporate;390 
Office Supplies;2017-10-06;Consumer;89 
Technology;2017-10-06;Consumer;10 
Furniture;2017-10-07;Home Office;125 
Office Supplies;2017-10-07;Corporate;102 
Office Supplies;2017-10-08;Consumer;120 
Technology;2017-10-08;Consumer;25 
Office Supplies;2017-10-09;Consumer;126 
Office Supplies;2017-10-09;Corporate;85 
Technology;2017-10-09;Consumer;15 
Technology;2017-10-10;Corporate;1564 
Office Supplies;2017-10-10;Corporate;234 
Furniture;2017-10-10;Home Office;157 
Technology;2017-10-10;Consumer;91 
Office Supplies;2017-10-10;Home Office;16 
Office Supplies;2017-10-10;Consumer;16 
Office Supplies;2017-10-11;Consumer;460 
Furniture;2017-10-11;Consumer;438 
Technology;2017-10-11;Home Office;328 
Furniture;2017-10-11;Home Office;69 
Furniture;2017-10-11;Corporate;10 
Office Supplies;2017-10-11;Corporate;7 
Office Supplies;2017-10-12;Consumer;40 
Office Supplies;2017-10-12;Corporate;21 
Furniture;2017-10-13;Consumer;1415 
Office Supplies;2017-10-13;Home Office;359 
